n_classes,C,max_iter,seed,n_train,acc,xent,err
2,0.01,10000,0,1,0.5212450592885376,inf,0.4787549407114624
5,0.01,10000,0,1,0.2081188118811881,inf,0.7918811881188119
10,0.01,10000,0,1,0.0984,inf,0.9016
2,0.01,10000,1,1,0.47875494071146246,inf,0.5212450592885376
5,0.01,10000,1,1,0.19227722772277228,inf,0.8077227722772278
10,0.01,10000,1,1,0.0969,inf,0.9031
2,0.01,10000,2,1,0.47875494071146246,inf,0.5212450592885376
5,0.01,10000,2,1,0.2089108910891089,inf,0.7910891089108911
10,0.01,10000,2,1,0.1051,inf,0.8949
2,0.01,10000,3,1,0.5212450592885376,inf,0.4787549407114624
5,0.01,10000,3,1,0.2081188118811881,inf,0.7918811881188119
10,0.01,10000,3,1,0.0984,inf,0.9016
2,0.01,10000,4,1,0.5212450592885376,inf,0.4787549407114624
5,0.01,10000,4,1,0.2081188118811881,inf,0.7918811881188119
10,0.01,10000,4,1,0.1051,inf,0.8949
2,0.01,10000,5,1,0.5212450592885376,inf,0.4787549407114624
5,0.01,10000,5,1,0.2081188118811881,inf,0.7918811881188119
10,0.01,10000,5,1,0.1055,inf,0.8945
2,0.01,10000,6,1,0.5212450592885376,inf,0.4787549407114624
5,0.01,10000,6,1,0.19188118811881189,inf,0.8081188118811882
10,0.01,10000,6,1,0.0971,inf,0.9029
2,0.01,10000,7,1,0.5212450592885376,inf,0.4787549407114624
5,0.01,10000,7,1,0.2089108910891089,inf,0.7910891089108911
10,0.01,10000,7,1,0.0952,inf,0.9048
2,0.01,10000,8,1,0.5212450592885376,inf,0.4787549407114624
5,0.01,10000,8,1,0.2089108910891089,inf,0.7910891089108911
10,0.01,10000,8,1,0.0984,inf,0.9016
2,0.01,10000,9,1,0.5212450592885376,inf,0.4787549407114624
5,0.01,10000,9,1,0.19227722772277228,inf,0.8077227722772278
10,0.01,10000,9,1,0.099,inf,0.901
2,1.0,10000,0,1,0.5212450592885376,inf,0.4787549407114624
5,1.0,10000,0,1,0.2089108910891089,inf,0.7910891089108911
10,1.0,10000,0,1,0.0969,inf,0.9031
2,1.0,10000,1,1,0.5212450592885376,inf,0.4787549407114624
5,1.0,10000,1,1,0.19227722772277228,inf,0.8077227722772278
10,1.0,10000,1,1,0.1051,inf,0.8949
2,1.0,10000,2,1,0.47875494071146246,inf,0.5212450592885376
5,1.0,10000,2,1,0.19881188118811882,inf,0.8011881188118812
10,1.0,10000,2,1,0.0952,inf,0.9048
2,1.0,10000,3,1,0.5212450592885376,inf,0.4787549407114624
5,1.0,10000,3,1,0.19227722772277228,inf,0.8077227722772278
10,1.0,10000,3,1,0.1051,inf,0.8949
2,1.0,10000,4,1,0.47875494071146246,inf,0.5212450592885376
5,1.0,10000,4,1,0.19188118811881189,inf,0.8081188118811882
10,1.0,10000,4,1,0.1004,inf,0.8996
2,1.0,10000,5,1,0.5212450592885376,inf,0.4787549407114624
5,1.0,10000,5,1,0.19881188118811882,inf,0.8011881188118812
10,1.0,10000,5,1,0.0989,inf,0.9011
2,1.0,10000,6,1,0.5212450592885376,inf,0.4787549407114624
5,1.0,10000,6,1,0.19188118811881189,inf,0.8081188118811882
10,1.0,10000,6,1,0.1035,inf,0.8965
2,1.0,10000,7,1,0.47875494071146246,inf,0.5212450592885376
5,1.0,10000,7,1,0.2089108910891089,inf,0.7910891089108911
10,1.0,10000,7,1,0.0969,inf,0.9031
2,1.0,10000,8,1,0.5212450592885376,inf,0.4787549407114624
5,1.0,10000,8,1,0.19227722772277228,inf,0.8077227722772278
10,1.0,10000,8,1,0.1051,inf,0.8949
2,1.0,10000,9,1,0.5212450592885376,inf,0.4787549407114624
5,1.0,10000,9,1,0.2089108910891089,inf,0.7910891089108911
10,1.0,10000,9,1,0.0971,inf,0.9029
2,100.0,10000,0,1,0.5212450592885376,inf,0.4787549407114624
5,100.0,10000,0,1,0.19227722772277228,inf,0.8077227722772278
10,100.0,10000,0,1,0.0952,inf,0.9048
2,100.0,10000,1,1,0.5212450592885376,inf,0.4787549407114624
5,100.0,10000,1,1,0.2089108910891089,inf,0.7910891089108911
10,100.0,10000,1,1,0.0984,inf,0.9016
2,100.0,10000,2,1,0.5212450592885376,inf,0.4787549407114624
5,100.0,10000,2,1,0.19881188118811882,inf,0.8011881188118812
10,100.0,10000,2,1,0.1055,inf,0.8945
2,100.0,10000,3,1,0.5212450592885376,inf,0.4787549407114624
5,100.0,10000,3,1,0.19188118811881189,inf,0.8081188118811882
10,100.0,10000,3,1,0.0952,inf,0.9048
2,100.0,10000,4,1,0.5212450592885376,inf,0.4787549407114624
5,100.0,10000,4,1,0.2081188118811881,inf,0.7918811881188119
10,100.0,10000,4,1,0.099,inf,0.901
2,100.0,10000,5,1,0.5212450592885376,inf,0.4787549407114624
5,100.0,10000,5,1,0.2089108910891089,inf,0.7910891089108911
10,100.0,10000,5,1,0.1051,inf,0.8949
2,100.0,10000,6,1,0.47875494071146246,inf,0.5212450592885376
5,100.0,10000,6,1,0.19227722772277228,inf,0.8077227722772278
10,100.0,10000,6,1,0.0969,inf,0.9031
2,100.0,10000,7,1,0.5212450592885376,inf,0.4787549407114624
5,100.0,10000,7,1,0.19227722772277228,inf,0.8077227722772278
10,100.0,10000,7,1,0.1004,inf,0.8996
2,100.0,10000,8,1,0.5212450592885376,inf,0.4787549407114624
5,100.0,10000,8,1,0.19881188118811882,inf,0.8011881188118812
10,100.0,10000,8,1,0.1035,inf,0.8965
2,100.0,10000,9,1,0.47875494071146246,inf,0.5212450592885376
5,100.0,10000,9,1,0.2081188118811881,inf,0.7918811881188119
10,100.0,10000,9,1,0.1004,inf,0.8996
2,0.01,10000,0,2,0.47875494071146246,inf,0.5212450592885376
5,0.01,10000,0,2,0.41465346534653463,inf,0.5853465346534654
10,0.01,10000,0,2,0.175,inf,0.825
2,0.01,10000,1,2,0.47875494071146246,inf,0.5212450592885376
5,0.01,10000,1,2,0.4102970297029703,inf,0.5897029702970298
10,0.01,10000,1,2,0.1904,inf,0.8096
2,0.01,10000,2,2,0.5212450592885376,inf,0.4787549407114624
5,0.01,10000,2,2,0.342970297029703,inf,0.657029702970297
10,0.01,10000,2,2,0.1863,inf,0.8137
2,0.01,10000,3,2,0.7124505928853755,2.6257184587402764,0.2875494071146245
5,0.01,10000,3,2,0.3211881188118812,inf,0.6788118811881187
10,0.01,10000,3,2,0.1879,inf,0.8121
2,0.01,10000,4,2,0.5212450592885376,inf,0.4787549407114624
5,0.01,10000,4,2,0.19188118811881189,inf,0.8081188118811882
10,0.01,10000,4,2,0.1051,inf,0.8949
2,0.01,10000,5,2,0.9026679841897233,0.5368532946679804,0.09733201581027673
5,0.01,10000,5,2,0.3217821782178218,inf,0.6782178217821782
10,0.01,10000,5,2,0.1869,inf,0.8130999999999999
2,0.01,10000,6,2,0.5212450592885376,inf,0.4787549407114624
5,0.01,10000,6,2,0.3564356435643564,inf,0.6435643564356436
10,0.01,10000,6,2,0.1933,inf,0.8067
2,0.01,10000,7,2,0.9337944664031621,0.26653713113912664,0.0662055335968379
5,0.01,10000,7,2,0.2081188118811881,inf,0.7918811881188119
10,0.01,10000,7,2,0.1688,inf,0.8311999999999999
2,0.01,10000,8,2,0.47875494071146246,inf,0.5212450592885376
5,0.01,10000,8,2,0.19881188118811882,inf,0.8011881188118812
10,0.01,10000,8,2,0.1697,inf,0.8303
2,0.01,10000,9,2,0.47875494071146246,inf,0.5212450592885376
5,0.01,10000,9,2,0.2887128712871287,inf,0.7112871287128713
10,0.01,10000,9,2,0.1371,inf,0.8629
2,1.0,10000,0,2,0.5212450592885376,inf,0.4787549407114624
5,1.0,10000,0,2,0.38772277227722773,inf,0.6122772277227723
10,1.0,10000,0,2,0.0971,inf,0.9029
2,1.0,10000,1,2,0.7183794466403162,2.5527421761571087,0.28162055335968383
5,1.0,10000,1,2,0.19188118811881189,inf,0.8081188118811882
10,1.0,10000,1,2,0.2045,inf,0.7955
2,1.0,10000,2,2,0.9026679841897233,0.5863431771994579,0.09733201581027673
5,1.0,10000,2,2,0.41227722772277225,inf,0.5877227722772278
10,1.0,10000,2,2,0.1619,inf,0.8381000000000001
2,1.0,10000,3,2,0.7944664031620553,1.4805618479947866,0.2055335968379447
5,1.0,10000,3,2,0.35445544554455444,inf,0.6455445544554456
10,1.0,10000,3,2,0.1512,inf,0.8488
2,1.0,10000,4,2,0.5212450592885376,inf,0.4787549407114624
5,1.0,10000,4,2,0.39762376237623764,inf,0.6023762376237624
10,1.0,10000,4,2,0.1985,inf,0.8015
2,1.0,10000,5,2,0.47875494071146246,inf,0.5212450592885376
5,1.0,10000,5,2,0.34396039603960393,inf,0.6560396039603961
10,1.0,10000,5,2,0.197,inf,0.8029999999999999
2,1.0,10000,6,2,0.47875494071146246,inf,0.5212450592885376
5,1.0,10000,6,2,0.3833663366336634,inf,0.6166336633663366
10,1.0,10000,6,2,0.1804,inf,0.8196
2,1.0,10000,7,2,0.9308300395256917,0.38383813845924036,0.06916996047430835
5,1.0,10000,7,2,0.2081188118811881,inf,0.7918811881188119
10,1.0,10000,7,2,0.1539,inf,0.8461
2,1.0,10000,8,2,0.5212450592885376,inf,0.4787549407114624
5,1.0,10000,8,2,0.39504950495049507,inf,0.6049504950495049
10,1.0,10000,8,2,0.1895,inf,0.8105
2,1.0,10000,9,2,0.5212450592885376,inf,0.4787549407114624
5,1.0,10000,9,2,0.3584158415841584,inf,0.6415841584158416
10,1.0,10000,9,2,0.1968,inf,0.8032
2,100.0,10000,0,2,0.47875494071146246,inf,0.5212450592885376
5,100.0,10000,0,2,0.33900990099009903,inf,0.6609900990099009
10,100.0,10000,0,2,0.1883,inf,0.8117
2,100.0,10000,1,2,0.916501976284585,0.479923541052745,0.08349802371541504
5,100.0,10000,1,2,0.4025742574257426,inf,0.5974257425742574
10,100.0,10000,1,2,0.0952,inf,0.9048
2,100.0,10000,2,2,0.8527667984189723,1.054785488456171,0.1472332015810277
5,100.0,10000,2,2,0.358019801980198,inf,0.641980198019802
10,100.0,10000,2,2,0.2013,inf,0.7987
2,100.0,10000,3,2,0.6684782608695652,4.871870101434663,0.3315217391304348
5,100.0,10000,3,2,0.34415841584158413,inf,0.6558415841584159
10,100.0,10000,3,2,0.193,inf,0.8069999999999999
2,100.0,10000,4,2,0.7984189723320159,2.4209942113553047,0.20158102766798414
5,100.0,10000,4,2,0.2081188118811881,inf,0.7918811881188119
10,100.0,10000,4,2,0.1587,inf,0.8412999999999999
2,100.0,10000,5,2,0.724308300395257,2.7762333994225012,0.27569169960474305
5,100.0,10000,5,2,0.3938613861386139,inf,0.6061386138613861
10,100.0,10000,5,2,0.1597,inf,0.8403
2,100.0,10000,6,2,0.47875494071146246,inf,0.5212450592885376
5,100.0,10000,6,2,0.39881188118811883,inf,0.6011881188118812
10,100.0,10000,6,2,0.1159,inf,0.8841
2,100.0,10000,7,2,0.841897233201581,1.321342028930655,0.15810276679841895
5,100.0,10000,7,2,0.32752475247524754,inf,0.6724752475247524
10,100.0,10000,7,2,0.1619,inf,0.8381000000000001
2,100.0,10000,8,2,0.47875494071146246,inf,0.5212450592885376
5,100.0,10000,8,2,0.359009900990099,inf,0.640990099009901
10,100.0,10000,8,2,0.1939,inf,0.8061
2,100.0,10000,9,2,0.47875494071146246,inf,0.5212450592885376
5,100.0,10000,9,2,0.41504950495049503,inf,0.584950495049505
10,100.0,10000,9,2,0.1956,inf,0.8044
2,0.01,10000,0,3,0.5212450592885376,51.12057046501636,0.4787549407114624
5,0.01,10000,0,3,0.544950495049505,inf,0.455049504950495
10,0.01,10000,0,3,0.1051,inf,0.8949
2,0.01,10000,1,3,0.5212450592885376,119.58481372865857,0.4787549407114624
5,0.01,10000,1,3,0.2091089108910891,inf,0.7908910891089109
10,0.01,10000,1,3,0.2493,inf,0.7507
2,0.01,10000,2,3,0.5212450592885376,39.70976169433376,0.4787549407114624
5,0.01,10000,2,3,0.417029702970297,inf,0.582970297029703
10,0.01,10000,2,3,0.1004,inf,0.8996
2,0.01,10000,3,3,0.4792490118577075,62.117217073427426,0.5207509881422925
5,0.01,10000,3,3,0.524950495049505,inf,0.475049504950495
10,0.01,10000,3,3,0.2383,inf,0.7617
2,0.01,10000,4,3,0.4797430830039526,39.40007279574984,0.5202569169960474
5,0.01,10000,4,3,0.2192079207920792,inf,0.7807920792079208
10,0.01,10000,4,3,0.0971,inf,0.9029
2,0.01,10000,5,3,0.5212450592885376,inf,0.4787549407114624
5,0.01,10000,5,3,0.2081188118811881,inf,0.7918811881188119
10,0.01,10000,5,3,0.0969,inf,0.9031
2,0.01,10000,6,3,0.47875494071146246,inf,0.5212450592885376
5,0.01,10000,6,3,0.19188118811881189,inf,0.8081188118811882
10,0.01,10000,6,3,0.2568,inf,0.7432000000000001
2,0.01,10000,7,3,0.5212450592885376,80.04049478684372,0.4787549407114624
5,0.01,10000,7,3,0.2203960396039604,inf,0.7796039603960396
10,0.01,10000,7,3,0.2782,inf,0.7218
2,0.01,10000,8,3,0.4792490118577075,76.02765089462116,0.5207509881422925
