n_classes,C,max_iter,seed,n_train,acc,xent,err
2,0.01,10000,0,1,0.5,inf,0.5
5,0.01,10000,0,1,0.2,inf,0.8
10,0.01,10000,0,1,0.1,inf,0.9
2,0.01,10000,1,1,0.5,inf,0.5
5,0.01,10000,1,1,0.2,inf,0.8
10,0.01,10000,1,1,0.1,inf,0.9
2,0.01,10000,2,1,0.5,inf,0.5
5,0.01,10000,2,1,0.2,inf,0.8
10,0.01,10000,2,1,0.1,inf,0.9
2,0.01,10000,3,1,0.5,inf,0.5
5,0.01,10000,3,1,0.2,inf,0.8
10,0.01,10000,3,1,0.1,inf,0.9
2,0.01,10000,4,1,0.5,inf,0.5
5,0.01,10000,4,1,0.2,inf,0.8
10,0.01,10000,4,1,0.1,inf,0.9
2,0.01,10000,5,1,0.5,inf,0.5
5,0.01,10000,5,1,0.2,inf,0.8
10,0.01,10000,5,1,0.1,inf,0.9
2,0.01,10000,6,1,0.5,inf,0.5
5,0.01,10000,6,1,0.2,inf,0.8
10,0.01,10000,6,1,0.1,inf,0.9
2,0.01,10000,7,1,0.5,inf,0.5
5,0.01,10000,7,1,0.2,inf,0.8
10,0.01,10000,7,1,0.1,inf,0.9
2,0.01,10000,8,1,0.5,inf,0.5
5,0.01,10000,8,1,0.2,inf,0.8
10,0.01,10000,8,1,0.1,inf,0.9
2,0.01,10000,9,1,0.5,inf,0.5
5,0.01,10000,9,1,0.2,inf,0.8
10,0.01,10000,9,1,0.1,inf,0.9
2,1.0,10000,0,1,0.5,inf,0.5
5,1.0,10000,0,1,0.2,inf,0.8
10,1.0,10000,0,1,0.1,inf,0.9
2,1.0,10000,1,1,0.5,inf,0.5
5,1.0,10000,1,1,0.2,inf,0.8
10,1.0,10000,1,1,0.1,inf,0.9
2,1.0,10000,2,1,0.5,inf,0.5
5,1.0,10000,2,1,0.2,inf,0.8
10,1.0,10000,2,1,0.1,inf,0.9
2,1.0,10000,3,1,0.5,inf,0.5
5,1.0,10000,3,1,0.2,inf,0.8
10,1.0,10000,3,1,0.1,inf,0.9
2,1.0,10000,4,1,0.5,inf,0.5
5,1.0,10000,4,1,0.2,inf,0.8
10,1.0,10000,4,1,0.1,inf,0.9
2,1.0,10000,5,1,0.5,inf,0.5
5,1.0,10000,5,1,0.2,inf,0.8
10,1.0,10000,5,1,0.1,inf,0.9
2,1.0,10000,6,1,0.5,inf,0.5
5,1.0,10000,6,1,0.2,inf,0.8
10,1.0,10000,6,1,0.1,inf,0.9
2,1.0,10000,7,1,0.5,inf,0.5
5,1.0,10000,7,1,0.2,inf,0.8
10,1.0,10000,7,1,0.1,inf,0.9
2,1.0,10000,8,1,0.5,inf,0.5
5,1.0,10000,8,1,0.2,inf,0.8
10,1.0,10000,8,1,0.1,inf,0.9
2,1.0,10000,9,1,0.5,inf,0.5
5,1.0,10000,9,1,0.2,inf,0.8
10,1.0,10000,9,1,0.1,inf,0.9
2,100.0,10000,0,1,0.5,inf,0.5
5,100.0,10000,0,1,0.2,inf,0.8
10,100.0,10000,0,1,0.1,inf,0.9
2,100.0,10000,1,1,0.5,inf,0.5
5,100.0,10000,1,1,0.2,inf,0.8
10,100.0,10000,1,1,0.1,inf,0.9
2,100.0,10000,2,1,0.5,inf,0.5
5,100.0,10000,2,1,0.2,inf,0.8
10,100.0,10000,2,1,0.1,inf,0.9
2,100.0,10000,3,1,0.5,inf,0.5
5,100.0,10000,3,1,0.2,inf,0.8
10,100.0,10000,3,1,0.1,inf,0.9
2,100.0,10000,4,1,0.5,inf,0.5
5,100.0,10000,4,1,0.2,inf,0.8
10,100.0,10000,4,1,0.1,inf,0.9
2,100.0,10000,5,1,0.5,inf,0.5
5,100.0,10000,5,1,0.2,inf,0.8
10,100.0,10000,5,1,0.1,inf,0.9
2,100.0,10000,6,1,0.5,inf,0.5
5,100.0,10000,6,1,0.2,inf,0.8
10,100.0,10000,6,1,0.1,inf,0.9
