n_classes,C,max_iter,seed,n_train,acc,xent,err
2,0.01,10000,0,1,0.5366430260047281,inf,0.46335697399527187
5,0.01,10000,0,1,0.20081727962638646,inf,0.7991827203736135
10,0.01,10000,0,1,0.1028,inf,0.8972
2,0.01,10000,1,1,0.46335697399527187,inf,0.5366430260047281
5,0.01,10000,1,1,0.1965362911072193,inf,0.8034637088927807
10,0.01,10000,1,1,0.101,inf,0.899
2,0.01,10000,2,1,0.46335697399527187,inf,0.5366430260047281
5,0.01,10000,2,1,0.1965362911072193,inf,0.8034637088927807
10,0.01,10000,2,1,0.0982,inf,0.9018
2,0.01,10000,3,1,0.46335697399527187,inf,0.5366430260047281
5,0.01,10000,3,1,0.22086008951157812,inf,0.7791399104884219
10,0.01,10000,3,1,0.1028,inf,0.8972
2,0.01,10000,4,1,0.46335697399527187,inf,0.5366430260047281
5,0.01,10000,4,1,0.20081727962638646,inf,0.7991827203736135
10,0.01,10000,4,1,0.101,inf,0.899
2,0.01,10000,5,1,0.5366430260047281,inf,0.46335697399527187
5,0.01,10000,5,1,0.22086008951157812,inf,0.7791399104884219
10,0.01,10000,5,1,0.101,inf,0.899
2,0.01,10000,6,1,0.5366430260047281,inf,0.46335697399527187
5,0.01,10000,6,1,0.20081727962638646,inf,0.7991827203736135
10,0.01,10000,6,1,0.0974,inf,0.9026
2,0.01,10000,7,1,0.46335697399527187,inf,0.5366430260047281
5,0.01,10000,7,1,0.1965362911072193,inf,0.8034637088927807
10,0.01,10000,7,1,0.0982,inf,0.9018
2,0.01,10000,8,1,0.5366430260047281,inf,0.46335697399527187
5,0.01,10000,8,1,0.1965362911072193,inf,0.8034637088927807
10,0.01,10000,8,1,0.1009,inf,0.8991
2,0.01,10000,9,1,0.46335697399527187,inf,0.5366430260047281
5,0.01,10000,9,1,0.19108776026464291,inf,0.8089122397353571
10,0.01,10000,9,1,0.1009,inf,0.8991
2,1.0,10000,0,1,0.5366430260047281,inf,0.46335697399527187
5,1.0,10000,0,1,0.1906985794901732,inf,0.8093014205098268
10,1.0,10000,0,1,0.1032,inf,0.8968
2,1.0,10000,1,1,0.46335697399527187,inf,0.5366430260047281
5,1.0,10000,1,1,0.22086008951157812,inf,0.7791399104884219
10,1.0,10000,1,1,0.1028,inf,0.8972
2,1.0,10000,2,1,0.46335697399527187,inf,0.5366430260047281
5,1.0,10000,2,1,0.1906985794901732,inf,0.8093014205098268
10,1.0,10000,2,1,0.1135,inf,0.8865
2,1.0,10000,3,1,0.5366430260047281,inf,0.46335697399527187
5,1.0,10000,3,1,0.20081727962638646,inf,0.7991827203736135
10,1.0,10000,3,1,0.0974,inf,0.9026
2,1.0,10000,4,1,0.46335697399527187,inf,0.5366430260047281
5,1.0,10000,4,1,0.1965362911072193,inf,0.8034637088927807
10,1.0,10000,4,1,0.0974,inf,0.9026
2,1.0,10000,5,1,0.5366430260047281,inf,0.46335697399527187
5,1.0,10000,5,1,0.1906985794901732,inf,0.8093014205098268
10,1.0,10000,5,1,0.1032,inf,0.8968
2,1.0,10000,6,1,0.46335697399527187,inf,0.5366430260047281
5,1.0,10000,6,1,0.1965362911072193,inf,0.8034637088927807
10,1.0,10000,6,1,0.1032,inf,0.8968
2,1.0,10000,7,1,0.46335697399527187,inf,0.5366430260047281
5,1.0,10000,7,1,0.20081727962638646,inf,0.7991827203736135
10,1.0,10000,7,1,0.1028,inf,0.8972
2,1.0,10000,8,1,0.46335697399527187,inf,0.5366430260047281
5,1.0,10000,8,1,0.20081727962638646,inf,0.7991827203736135
10,1.0,10000,8,1,0.0982,inf,0.9018
2,1.0,10000,9,1,0.5366430260047281,inf,0.46335697399527187
5,1.0,10000,9,1,0.19108776026464291,inf,0.8089122397353571
10,1.0,10000,9,1,0.1135,inf,0.8865
2,100.0,10000,0,1,0.5366430260047281,inf,0.46335697399527187
5,100.0,10000,0,1,0.19108776026464291,inf,0.8089122397353571
10,100.0,10000,0,1,0.1028,inf,0.8972
2,100.0,10000,1,1,0.46335697399527187,inf,0.5366430260047281
5,100.0,10000,1,1,0.19108776026464291,inf,0.8089122397353571
10,100.0,10000,1,1,0.0958,inf,0.9042
2,100.0,10000,2,1,0.5366430260047281,inf,0.46335697399527187
5,100.0,10000,2,1,0.22086008951157812,inf,0.7791399104884219
10,100.0,10000,2,1,0.1009,inf,0.8991
2,100.0,10000,3,1,0.5366430260047281,inf,0.46335697399527187
5,100.0,10000,3,1,0.1906985794901732,inf,0.8093014205098268
10,100.0,10000,3,1,0.0974,inf,0.9026
2,100.0,10000,4,1,0.5366430260047281,inf,0.46335697399527187
5,100.0,10000,4,1,0.20081727962638646,inf,0.7991827203736135
10,100.0,10000,4,1,0.101,inf,0.899
2,100.0,10000,5,1,0.46335697399527187,inf,0.5366430260047281
5,100.0,10000,5,1,0.22086008951157812,inf,0.7791399104884219
10,100.0,10000,5,1,0.101,inf,0.899
2,100.0,10000,6,1,0.5366430260047281,inf,0.46335697399527187
5,100.0,10000,6,1,0.22086008951157812,inf,0.7791399104884219
10,100.0,10000,6,1,0.0982,inf,0.9018
2,100.0,10000,7,1,0.5366430260047281,inf,0.46335697399527187
5,100.0,10000,7,1,0.22086008951157812,inf,0.7791399104884219
10,100.0,10000,7,1,0.098,inf,0.902
2,100.0,10000,8,1,0.46335697399527187,inf,0.5366430260047281
5,100.0,10000,8,1,0.19108776026464291,inf,0.8089122397353571
10,100.0,10000,8,1,0.101,inf,0.899
2,100.0,10000,9,1,0.46335697399527187,inf,0.5366430260047281
5,100.0,10000,9,1,0.19108776026464291,inf,0.8089122397353571
10,100.0,10000,9,1,0.0974,inf,0.9026
2,0.01,10000,0,2,0.9891252955082742,0.08495992101402569,0.010874704491725784
5,0.01,10000,0,2,0.3374197314652656,inf,0.6625802685347344
